x;y
120;128
120;127
120;125
120;121
120;120
120;118
120;114
118;113
116;111
114;109
113;108
109;107
106;107
102;107
95;107
91;107
87;107
83;107
79;107
72;107
68;106
63;104
54;100
50;98
46;95
41;92
33;83
31;79
30;76
28;72
24;65
22;62
19;58
16;55
12;51
6;44
3;41
3;37
3;30
3;26
3;23
0;15
-3;12
-6;9
-9;5
-16;0
-20;-4
-22;-8
-24;-13
-27;-17
-31;-26
-34;-30
-37;-34
-40;-37
-47;-44
-50;-47
-53;-51
-56;-54
-59;-61
-61;-65
-63;-70
-64;-75
-67;-85
-69;-89
-71;-94
-72;-96
-76;-100
-79;-103
-81;-105
-86;-110
-89;-113
-91;-115
-96;-118
-105;-122
-109;-122
-112;-122
-116;-122
-120;-122
-122;-122
-124;-122
-126;-122
-128;-122
-128;-122
-128;-122
-128;-122
-128;-122
-128;-122
-128;-122
-128;-122
-128;-122
-128;-122
-128;-122
-128;-122
-128;-122
-128;-122
-128;-122
-128;-122
-128;-122
-128;-122
-128;-122
-128;-122
-128;-122
-128;-122
-128;-122
-128;-122
-128;-122
-128;-122
-128;-122
-128;-122
-128;-122
-128;-122
-128;-122
-128;-122
