x;y
109;-107
104;-107
101;-107
99;-107
97;-107
90;-101
87;-97
84;-94
81;-91
78;-88
74;-92
72;-94
70;-97
66;-102
64;-99
63;-95
61;-91
60;-87
57;-78
56;-75
56;-71
56;-67
56;-60
56;-56
56;-54
56;-53
56;-50
56;-49
56;-48
56;-48
50;-57
46;-61
41;-66
31;-76
27;-80
27;-84
27;-87
27;-91
27;-98
27;-102
27;-105
27;-112
27;-116
27;-120
27;-123
27;-131
27;-135
27;-140
27;-145
27;-138
27;-133
27;-129
27;-125
27;-121
27;-114
27;-110
27;-107
27;-103
27;-96
27;-92
27;-88
27;-85
27;-78
27;-74
27;-70
27;-63
27;-59
27;-56
27;-52
27;-45
27;-41
27;-38
27;-34
27;-30
25;-30
24;-30
22;-30
18;-30
17;-28
14;-24
7;-18
3;-14
0;-11
-6;-5
-10;-1
-14;1
-18;4
-22;7
-25;10
-34;14
-38;17
-43;19
-47;21
-51;23
-60;28
-65;30
-69;32
-78;37
-82;39
-91;43
-100;48
-104;50
-108;53
-111;57
-115;60
-122;66
-125;70
-135;79
-138;83
-142;86
-145;90
-152;97
-155;100
-156;104
-156;107
-156;111
-156;114
-156;122
-156;125
-156;129
-156;130
-156;130
-156;130
-156;130
-156;130
-156;130
-156;130
-156;130
-156;130
-156;130
-156;130
-156;130
-156;130
-156;130
-156;130
-156;130
-156;130
-156;130
-156;130
-156;130
-156;130
-156;130
-156;130
-156;130
-156;130
-156;130
-156;130
-156;130
