x;y
-153;130
-146;130
-143;130
-140;130
-137;130
-130;130
-126;130
-119;130
-119;130
-113;130
-113;130
-113;130
-113;130
-113;130
-113;130
-113;130
-113;130
-113;130
-113;130
-109;130
-106;130
-102;130
-99;130
-96;130
-93;130
-93;130
-93;130
-93;130
-93;130
-93;130
-93;130
-93;130
-93;130
-93;130
-91;130
-88;130
-86;130
-84;130
-81;130
-79;130
-77;130
-75;130
-73;130
-71;130
-70;130
-70;130
-70;130
-70;130
-70;130
-70;130
-70;130
-70;130
-70;130
-70;130
-70;130
-70;130
-70;130
-70;130
-70;130
-70;130
-70;130
-70;130
-70;130
-70;130
-70;130
-77;130
-81;130
-85;130
-92;130
-93;130
-93;130
-93;130
-93;130
-93;130
-93;130
-93;130
-93;130
-93;130
-93;130
-97;130
-97;130
-101;130
-104;130
-106;130
-111;130
-113;130
-116;130
-118;130
-122;130
-122;130
-122;130
-122;130
-122;130
-122;130
-122;130
-122;130
-122;130
-122;130
-122;130
-122;130
-122;130
-122;130
-122;130
-122;126
-122;119
-122;115
-122;112
-122;108
-122;105
-122;97
-122;94
-122;90
-122;86
-122;79
-122;75
-122;72
-122;64
-122;61
-122;57
-122;54
-122;50
-122;43
-122;35
-122;32
-122;24
-122;21
-122;17
-119;8
-117;4
-116;0
-112;-9
-112;-13
-112;-18
-112;-23
-112;-28
-112;-33
-111;-42
-110;-46
-108;-51
-105;-59
-103;-64
-102;-67
-101;-70
-101;-74
-101;-80
-101;-84
-101;-87
-101;-93
-101;-97
-101;-100
-101;-103
-101;-106
-101;-108
-101;-112
-101;-114
-101;-117
-101;-117
-101;-117
-101;-117
-101;-117
-101;-117
-101;-117
-101;-117
-101;-117
-101;-117
-101;-117
-101;-117
-101;-117
-101;-117
-101;-117
-101;-117
-101;-117
-101;-117
-101;-117
-101;-117
-101;-117
-101;-117
-101;-117
-101;-117
-101;-117
-101;-117
-101;-117
-101;-117
-101;-117
-101;-117
-101;-117
