x;y
-97;-117
-94;-117
-90;-117
-87;-117
-81;-117
-81;-117
-81;-117
-81;-117
-81;-117
-78;-117
-71;-113
-67;-110
-66;-108
-66;-108
-66;-108
-63;-108
-57;-108
-50;-108
-47;-108
-46;-108
-46;-108
-46;-108
-46;-108
-43;-108
-38;-108
-34;-108
-29;-108
-19;-108
-17;-108
-17;-107
-17;-105
-17;-103
-17;-99
-12;-95
-2;-95
6;-95
10;-94
10;-90
10;-85
10;-80
10;-76
10;-66
10;-66
10;-66
10;-66
10;-66
12;-66
13;-64
15;-62
17;-60
18;-58
20;-54
20;-53
20;-53
20;-53
20;-53
20;-53
20;-53
20;-53
20;-53
20;-53
20;-53
20;-53
20;-53
20;-53
21;-53
23;-53
24;-53
26;-53
29;-53
31;-53
31;-53
31;-53
31;-53
31;-53
31;-53
36;-53
45;-53
50;-53
54;-53
59;-53
59;-53
59;-53
59;-53
59;-53
62;-53
65;-53
68;-53
71;-53
74;-53
79;-53
79;-53
79;-53
79;-53
79;-53
79;-53
79;-53
79;-53
79;-53
79;-53
80;-53
81;-53
84;-53
85;-53
87;-53
88;-53
88;-53
88;-53
88;-53
90;-53
91;-53
93;-53
95;-53
98;-53
99;-53
99;-53
99;-53
99;-53
99;-53
101;-53
109;-53
113;-53
116;-53
122;-53
122;-53
122;-53
122;-53
122;-53
122;-53
122;-53
122;-53
122;-53
122;-53
122;-53
122;-53
122;-53
122;-53
122;-53
122;-53
122;-53
122;-53
122;-53
122;-53
122;-53
122;-53
122;-56
122;-58
122;-59
122;-61
122;-62
122;-69
122;-76
122;-84
122;-85
122;-85
122;-85
122;-85
122;-86
122;-87
122;-89
122;-93
122;-94
122;-95
122;-95
122;-95
122;-95
122;-95
122;-97
122;-99
122;-102
122;-103
122;-105
122;-107
122;-109
122;-113
122;-117
122;-117
122;-117
122;-117
122;-117
122;-117
122;-117
122;-117
122;-117
122;-117
122;-117
125;-115
127;-113
129;-111
130;-109
133;-105
133;-104
133;-104
133;-104
133;-104
134;-104
135;-104
138;-104
140;-104
141;-104
142;-104
142;-104
142;-104
142;-104
142;-104
142;-104
142;-104
142;-104
142;-104
142;-104
142;-104
142;-104
142;-104
142;-104
142;-104
142;-104
142;-104
142;-104
142;-104
142;-104
142;-104
142;-104
142;-104
142;-104
142;-104
142;-104
142;-104
142;-104
142;-104
142;-104
142;-104
