x;y
-114;125
-107;125
-103;125
-99;125
-96;125
-88;125
-85;125
-81;125
-74;125
-70;125
-67;125
-63;125
-59;125
-52;125
-48;125
-45;125
-48;125
-55;125
-59;125
-62;125
-64;125
-61;125
-57;125
-53;125
-46;125
-45;125
-45;127
-45;128
-45;130
-44;130
-39;130
-34;130
-31;130
-29;130
-27;130
-27;130
-27;130
-27;130
-27;130
-23;130
-19;130
-15;130
-8;130
-5;130
-5;130
-5;130
-5;130
-5;130
-1;130
5;130
8;130
12;130
18;130
23;130
25;130
27;130
29;130
38;130
43;130
47;130
57;130
60;130
61;130
64;130
67;130
69;130
73;130
76;130
84;130
87;130
91;130
92;130
96;130
98;130
100;130
104;130
107;130
109;130
112;130
117;130
120;130
128;130
135;130
139;130
140;130
140;130
140;130
140;130
140;130
140;130
140;130
140;130
140;130
140;130
140;130
140;130
140;130
140;130
