x;y
-125;130
-119;130
-116;130
-113;130
-109;130
-107;130
-107;130
-107;130
-107;130
-107;130
-107;130
-107;130
-107;130
-107;130
-107;130
-107;130
-107;130
-107;130
-107;130
-107;130
-107;130
-107;130
-107;130
-107;130
-107;130
-107;130
-107;130
-107;130
-107;130
-107;130
-107;130
-107;128
-107;125
-107;122
-107;115
-107;112
-107;108
-107;102
-107;98
-107;95
-107;92
-107;84
-107;79
-107;74
-107;69
-107;60
-107;57
-107;55
-107;53
-107;49
-107;47
-107;44
-107;37
-107;37
-107;31
-107;27
-107;25
-107;22
-107;20
-107;18
-107;14
-107;11
-107;8
-107;4
-107;1
-107;-5
-107;-8
-107;-9
-107;-11
-107;-13
-107;-17
-107;-20
-107;-23
-107;-26
-107;-33
-107;-36
-107;-39
-107;-42
-107;-46
-107;-48
-107;-50
-107;-54
-107;-57
-107;-62
-107;-64
-107;-67
-107;-69
-107;-71
-107;-73
-107;-77
-107;-79
-107;-81
-107;-82
-107;-86
-107;-88
-107;-89
-107;-91
-107;-93
-107;-96
-107;-98
-107;-101
-107;-101
-107;-101
-107;-101
-107;-101
-107;-101
-107;-101
-107;-101
-107;-101
-107;-101
-107;-101
-107;-101
-107;-101
-107;-101
-107;-101
