x;y
-107;-101
-107;-101
-107;-101
-104;-101
-102;-101
-98;-101
-96;-101
-94;-101
-89;-101
-84;-101
-79;-101
-70;-101
-65;-101
-63;-101
-58;-101
-55;-101
-53;-101
-50;-101
-48;-101
-43;-101
-40;-101
-35;-101
-32;-101
-29;-101
-26;-101
-22;-101
-19;-101
-12;-101
-8;-99
-1;-93
2;-90
6;-87
10;-84
17;-82
21;-82
24;-82
28;-82
31;-82
39;-78
43;-75
46;-72
50;-69
54;-66
61;-64
65;-64
68;-64
72;-64
79;-64
83;-61
87;-58
91;-55
98;-49
102;-46
105;-45
109;-45
116;-45
120;-45
124;-45
131;-43
135;-41
139;-40
143;-38
151;-36
154;-36
157;-36
160;-36
167;-36
170;-36
172;-36
172;-36
172;-36
172;-36
172;-36
172;-36
172;-36
172;-36
172;-36
172;-36
172;-36
172;-36
172;-36
172;-36
172;-36
172;-36
172;-36
172;-36
172;-36
172;-36
172;-36
172;-36
172;-36
172;-36
172;-36
172;-36
172;-36
172;-38
172;-42
172;-45
172;-49
172;-56
172;-60
172;-65
172;-70
172;-80
172;-88
172;-88
172;-88
172;-88
172;-88
172;-88
172;-88
172;-88
172;-88
172;-88
172;-88
172;-88
172;-93
172;-96
172;-98
172;-103
172;-108
172;-113
172;-122
172;-127
172;-130
172;-130
