x;y
172;-130
172;-127
172;-118
170;-114
167;-110
163;-107
156;-104
152;-104
148;-104
144;-104
140;-104
133;-102
129;-100
127;-99
127;-97
127;-95
127;-94
127;-94
127;-94
127;-94
127;-94
127;-94
127;-94
127;-94
127;-94
127;-94
127;-94
127;-94
131;-94
133;-94
135;-94
139;-94
140;-94
142;-94
144;-94
147;-94
149;-94
151;-94
151;-94
151;-94
151;-94
151;-94
151;-94
147;-94
144;-94
142;-94
139;-94
136;-94
129;-94
125;-94
121;-94
113;-94
110;-94
110;-94
110;-94
110;-94
110;-92
110;-91
110;-89
110;-86
110;-84
110;-84
110;-84
110;-84
110;-84
110;-84
110;-84
110;-84
110;-84
110;-84
110;-84
110;-84
110;-84
110;-84
110;-84
110;-84
110;-84
110;-84
110;-84
110;-84
110;-84
110;-84
110;-84
110;-84
110;-84
110;-84
110;-84
110;-84
110;-84
110;-84
110;-80
110;-77
108;-74
107;-71
105;-67
103;-64
100;-57
98;-54
89;-44
85;-40
80;-42
75;-46
71;-51
66;-56
61;-60
52;-65
42;-56
37;-51
33;-46
28;-41
23;-37
18;-32
13;-27
0;-13
-5;-8
-9;-3
-14;1
-19;5
-24;10
-33;20
-38;24
-43;29
-48;34
-52;39
-62;48
-69;55
-72;58
-76;61
-79;65
-82;68
-86;71
-93;78
-96;81
-100;84
-103;88
-111;88
-115;88
-116;88
-116;88
-116;88
-116;88
-116;88
-116;88
-116;88
-116;88
-116;89
-116;92
-116;96
-116;99
-116;107
-116;110
-116;114
-116;118
-116;121
-116;128
-116;130
-116;130
