x;y
-116;130
-114;130
-112;130
-109;130
-107;130
-105;130
-101;130
-94;130
-90;130
-87;130
-83;130
-79;130
-72;130
-68;130
-61;130
-57;130
-54;130
-50;130
-46;130
-39;130
-36;130
-32;130
-28;130
-25;130
-17;130
-10;130
-6;130
-3;130
0;130
4;130
7;130
15;130
18;130
22;130
26;130
33;130
37;130
40;130
44;130
47;130
55;130
58;130
62;130
69;130
73;130
80;130
84;130
88;130
91;130
102;130
106;130
113;130
120;130
124;130
128;130
131;130
139;130
140;130
140;130
140;130
140;130
140;130
