time;x;y;fx;fy
63;120;-120;32;0
126;120;-120;32;0
189;120;-120;32;0
252;120;-120;32;0
315;120;-120;32;0
378;120;-120;32;58
441;120;-120;32;58
504;120;-120;32;58
567;120;-120;32;58
630;120;-120;60;58
693;120;-119;60;457
756;120;-115;60;457
819;120;-112;60;457
882;120;-104;60;457
945;120;-101;77;457
1008;120;-97;77;878
1071;120;-100;77;878
1134;120;-107;77;878
1197;120;-111;77;878
1260;120;-114;77;878
1323;120;-118;108;878
1386;120;-121;108;1209
1449;120;-120;108;1209
1512;120;-118;108;1209
1575;120;-117;108;1209
1638;120;-115;51;1209
1701;120;-112;51;704
1764;120;-108;51;704
1827;120;-105;51;704
1890;120;-97;33;704
1953;120;-94;33;704
2016;120;-95;33;951
2079;120;-99;33;951
2142;120;-106;33;951
2205;120;-109;64;951
2268;120;-113;64;951
2331;120;-113;64;1376
2394;120;-106;64;1376
2457;120;-102;64;1376
2520;120;-99;59;1376
2583;120;-95;59;1376
2646;120;-88;59;531
2709;120;-84;59;531
2772;120;-81;59;531
2835;120;-77;26;531
2898;120;-70;26;491
2961;120;-66;26;491
3024;120;-62;26;491
3087;120;-59;26;491
3150;120;-52;0;491
3213;120;-48;0;0
3276;120;-48;0;0
3339;120;-48;0;0
3402;120;-48;0;0
3465;120;-48;0;0
3528;120;-48;0;0
3591;120;-48;0;59
3654;120;-48;0;59
3717;120;-48;0;59
3780;120;-48;0;59
3843;120;-48;0;59
3906;120;-41;0;355
3969;120;-38;0;355
4032;120;-34;0;355
4095;120;-31;0;355
4158;120;-23;34;489
4221;120;-20;34;489
4284;120;-16;34;489
4347;120;-12;34;489
4410;120;-5;0;489
4473;120;-2;0;202
4536;120;1;0;202
4599;120;4;0;202
4662;120;11;0;202
4725;120;14;0;202
4788;120;17;0;152
4851;120;19;0;152
4914;120;23;0;152
4977;120;25;0;152
5040;120;27;0;152
5103;120;29;0;291
5166;120;36;0;291
5229;120;40;0;291
5292;120;44;0;291
5355;120;47;0;291
5418;120;54;0;234
5481;120;58;0;234
5544;120;61;0;234
5607;120;64;0;234
5670;120;71;0;234
5733;120;74;0;163
5796;120;76;0;163
5859;120;79;0;163
5922;120;84;0;163
5985;120;86;0;163
6048;120;89;0;200
6111;120;92;0;200
6174;120;99;0;200
6237;120;102;0;200
6300;120;105;0;200
6363;120;108;0;146
6426;120;112;0;146
6489;120;114;0;146
6552;120;116;0;146
6615;120;118;0;146
6678;120;119;0;70
6741;120;119;0;70
6804;120;119;0;70
6867;120;119;0;70
6930;120;119;0;0
6993;120;119;0;0
7056;120;119;0;0
7119;120;119;0;0
7182;120;119;0;0
7245;120;119;0;0
7308;120;119;0;0
7371;120;119;0;0
7434;120;119;0;0
7497;120;119;0;0
7560;120;119;0;0
7623;120;119;0;0
7686;120;119;-169;0
7749;117;119;-169;0
7812;115;119;-169;0
7875;113;119;-169;0
7938;108;119;-169;0
8001;105;118;-169;-138
8064;101;116;-268;-138
8127;96;114;-268;-138
8190;87;110;-268;-138
8253;82;108;-268;-138
8316;78;105;-268;-338
8379;74;102;-259;-338
8442;68;95;-259;-338
8505;64;91;-259;-338
8568;61;88;-259;-338
8631;58;84;-259;-303
8694;51;77;-259;-303
8757;48;74;-259;-303
8820;44;71;-259;-303
8883;41;67;-259;-303
8946;34;60;-233;-348
9009;31;57;-233;-348
9072;28;53;-233;-348
9135;24;50;-233;-348
9198;18;43;-233;-349
9261;14;40;-205;-349
9324;11;36;-205;-349
9387;8;33;-205;-349
9450;1;26;-205;-349
9513;-1;22;-205;-324
9576;-4;19;-175;-324
9639;-7;15;-175;-324
9702;-11;6;-175;-324
9765;-13;1;-175;-324
9828;-16;-2;-175;-280
9891;-18;-7;-152;-280
9954;-22;-16;-152;-280
10017;-24;-21;-152;-280
10080;-26;-26;-152;-280
10143;-30;-35;-152;-261
10206;-34;-40;-242;-261
10269;-39;-44;-242;-261
10332;-48;-53;-242;-261
10395;-52;-58;-242;-261
10458;-56;-62;-242;-229
10521;-59;-65;-295;-229
10584;-63;-68;-295;-229
10647;-67;-71;-295;-229
